"","Category","SeriesCode","SiteName","Contributors","Public","Update","Species","Lat","Lon","Elev","EarliestYr","LatestYr","Citation","nseries","interrbar","interrbar.sd","ar1bar","ar1bar.sd"
"1","WSB","B18","Boulder County 18","Veblen lab","No","No","PSME",40.163209,-105.45956,-9999,1734,1998,NA,16,0.653792405297366,0.0875259094581354,0.6440625,0.142072032786189
"2","WSB","B19","Boulder County 19","Veblen lab","No","No","PSME",40.1655633,-105.48139,-9999,1615,1998,NA,22,0.54256139217037,0.128641692129434,0.786772727272727,0.0923899251455388
"3","WSB","SH","S. Hollowell","Veblen lab","No","No","PSME",40.33630502,-105.6075955,-9999,1638,1995,NA,48,0.687777198795072,0.095982977804426,0.6124375,0.102019794960732
"4","WSB","EP","Estes Park","Veblen lab","No","No","PSME",40.36128808,-105.4451392,-9999,1591,1995,NA,35,0.537314091226104,0.121049679755749,0.754542857142857,0.113902007124066
"5","WSB","LJ","Lost Junction","Veblen lab","No","No","PSME",40.29470943,-105.4635744,-9999,1571,1995,NA,46,0.626656490870254,0.0908095178419378,0.641391304347826,0.126945566332953
"6","WSB","SS","Sugarloaf Saddle","Veblen lab","No","No","PSME",40.02675762,-105.421147,-9999,1594,1995,NA,40,0.657971868993552,0.100228324363912,0.5982,0.154786072387435
"7","WSB","FP","Frankenberger Pt.","Veblen lab","No","No","PSME",40.04102,-105.45444,-9999,1419,1995,NA,27,0.580773470906837,0.0792858980678366,0.663962962962963,0.108804864668353
"8","WSB","WR","W. Rd 211","Veblen lab","No","No","PSME",39.08637495,-105.4080289,-9999,1691,1994,NA,17,0.674858233385567,0.101255342582262,0.568411764705882,0.166409156457634
"9","WSB","JP","Lost Jeep","Veblen lab","No","No","PSME",39.09286043,-105.3653275,-9999,1741,1994,NA,17,0.66318506128762,0.0956002006088783,0.682294117647059,0.106901101903747
"10","WSB","WW","Wigwam I","Veblen lab","No","No","PSME",39.24137251,-105.2651545,-9999,1743,1994,NA,21,0.522389178215091,0.11279662320087,0.699809523809524,0.118247883299287
"11","WSB","SR","South Rd. 30","Veblen lab","No","No","PSME",39.15015675,-105.0174636,-9999,1604,1994,NA,21,0.545895285748783,0.106758933977891,0.723238095238095,0.0896966581104919
"12","WSB","NI","North Inlet","Veblen lab","No","No","PSME",40.27536637,-105.7763456,2770,1691,2000,NA,26,0.470021916382912,0.119826636238861,0.798192307692308,0.104405371214615
"13","WSB","SP","Summerland Park","Veblen lab","No","No","PSME",40.26418611,-105.7910361,2581,1564,2000,NA,31,0.578077743186081,0.143399675455976,0.756,0.130619294133753
"14","WSB","WB","Wild Basin","Veblen lab","No","No","PSME",40.20932,-105.55018,-9999,1414,2000,NA,28,0.509359456623302,0.109995848985343,0.783142857142857,0.103490101257082
"15","WSB","TI","Three Island Lake Trail","Veblen lab","No","No","PSME",40.75631,-106.75358,-9999,1697,1997,NA,22,0.594367669842961,0.0760793576714076,0.770045454545455,0.0932725025946004
